stage,epoch,train_loss,train_acc,train_auc,val_loss,val_acc,val_sens,val_spec,val_auc
1,1,0.3238481753530318,0.6537785588752196,0.7477754638394548,0.28031702187596536,0.673469387755102,0.6564885496183206,0.8125,0.7924618320610687
1,2,0.26242242436626884,0.7416520210896309,0.8454815095292187,0.2623452469199693,0.6870748299319728,0.6717557251908397,0.8125,0.8239503816793893
1,3,0.25725501870019574,0.7609841827768014,0.8504669948251925,0.21905523163526236,0.7687074829931972,0.7709923664122137,0.75,0.8277671755725191
1,4,0.23739592979788152,0.7557117750439367,0.8710873406537928,0.23608934524513425,0.7142857142857143,0.7099236641221374,0.75,0.8373091603053435
1,5,0.2623069812208152,0.7539543057996485,0.8395178593966932,0.22483028816122588,0.7551020408163265,0.7480916030534351,0.8125,0.8354007633587787
1,6,0.2378488679028563,0.7768014059753954,0.8722074971601665,0.18909005324045816,0.7687074829931972,0.7633587786259542,0.8125,0.8802480916030534
1,7,0.2556091036863612,0.7715289982425307,0.8547582986242586,0.1980339598898985,0.7619047619047619,0.7633587786259542,0.75,0.8711832061068702
1,8,0.22673358476224809,0.7961335676625659,0.8870377382304683,0.1969625131309438,0.7687074829931972,0.7633587786259542,0.8125,0.872614503816794
2,9,0.2273754359391536,0.7680140597539543,0.8798119399217468,0.17837293195177098,0.8027210884353742,0.7938931297709924,0.875,0.8897900763358778
2,10,0.22396400225183458,0.789103690685413,0.8881105641802348,0.1876904151978947,0.7959183673469388,0.8015267175572519,0.75,0.866412213740458
2,11,0.19278635967175864,0.7978910369068541,0.9200586898901931,0.18468033811267542,0.8231292517006803,0.8473282442748091,0.625,0.862118320610687
2,12,0.1847240021599617,0.8137082601054482,0.9268900668938533,0.17977291857506952,0.8095238095238095,0.8396946564885496,0.5625,0.8683206106870228
2,13,0.15082152274245747,0.8471001757469244,0.9554461693802851,0.1803495614808433,0.8095238095238095,0.8320610687022901,0.625,0.8721374045801527
2,14,0.15343600933183058,0.875219683655536,0.9510444276158021,0.18352941272868997,0.8299319727891157,0.8396946564885496,0.75,0.8711832061068703
2,15,0.13427619877646174,0.8769771528998243,0.9641549917960368,0.19946039371749982,0.8299319727891157,0.8396946564885496,0.75,0.8711832061068703
2,16,0.11304218171455739,0.9086115992970123,0.9728638142117886,0.21192037088631774,0.8435374149659864,0.8549618320610687,0.75,0.8478053435114503
2,17,0.1310281302773366,0.8963093145869947,0.9634450334469267,0.20452760130825903,0.8299319727891157,0.8549618320610687,0.625,0.836354961832061
2,18,0.10395371560367424,0.9209138840070299,0.9792849930581851,0.2057819100869756,0.8027210884353742,0.8091603053435115,0.75,0.8659351145038168
2,19,0.09896938542071042,0.9209138840070299,0.9812413227312886,0.19793590715750545,0.8231292517006803,0.8320610687022901,0.75,0.8630725190839694
2,20,0.11205906265125543,0.9138840070298769,0.9736368799697084,0.22527910343238286,0.8299319727891157,0.8396946564885496,0.75,0.8492366412213741
2,21,0.11905591027493637,0.9191564147627417,0.9680834279944465,0.21610670764835513,0.8095238095238095,0.8244274809160306,0.6875,0.8497137404580153
2,22,0.08196890270353831,0.9332161687170475,0.9873311876814338,0.2111934830947798,0.8367346938775511,0.8549618320610687,0.6875,0.8373091603053435
2,23,0.07517021269208518,0.9367311072056239,0.9909598636879969,0.2123288550749928,0.8231292517006803,0.8396946564885496,0.6875,0.8559160305343512
2,24,0.06722769931921169,0.9543057996485061,0.9918118137069292,0.19799223826045081,0.8367346938775511,0.8549618320610687,0.6875,0.8678435114503817
2,25,0.07165419935577783,0.9437609841827768,0.9912280701754386,0.2171394992239621,0.8027210884353742,0.816793893129771,0.6875,0.853530534351145
2,26,0.07343779914146567,0.9490333919156415,0.9893190710589423,0.2135330251082271,0.8435374149659864,0.8625954198473282,0.6875,0.8659351145038168
2,27,0.07555604317210785,0.9437609841827768,0.9880569228827465,0.2119505434822874,0.8435374149659864,0.8625954198473282,0.6875,0.8520992366412213
2,28,0.07355790745028293,0.9384885764499121,0.9903287895998989,0.20863634124905073,0.8639455782312925,0.8854961832061069,0.6875,0.8606870229007634
2,29,0.07313219742008169,0.945518453427065,0.9893506247633472,0.20609064937448826,0.8503401360544217,0.8702290076335878,0.6875,0.8678435114503816
2,30,0.07448685216358969,0.9437609841827768,0.9890508645715007,0.19990435759631955,0.8435374149659864,0.8625954198473282,0.6875,0.8759541984732824
2,31,0.07671709405831167,0.9384885764499121,0.98853022844882,0.20217200069605898,0.8571428571428571,0.8778625954198473,0.6875,0.875
2,32,0.08635377692736305,0.9332161687170475,0.9832923135176069,0.20851394473289958,0.8571428571428571,0.8778625954198473,0.6875,0.8745229007633587
2,33,0.06179683668267224,0.9525483304042179,0.9920326896377635,0.2052704915911162,0.8571428571428571,0.8778625954198473,0.6875,0.870706106870229
